StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q1.2_Browser,Q1.2_Version,Q1.2_Operating System,Q1.2_Resolution,Q2.1,Q4.2_First Click,Q4.2_Last Click,Q4.2_Page Submit,Q4.2_Click Count,Q5.3_First Click,Q5.3_Last Click,Q5.3_Page Submit,Q5.3_Click Count,Q6.3_First Click,Q6.3_Last Click,Q6.3_Page Submit,Q6.3_Click Count,Q7.2_1,Q7.3_1,Q7.4,Q7.4_DO,Q7.5,Q7.5_DO,Q7.6,Q7.7,Q7.7_DO,Q7.8,Q7.8_DO,Q7.9,Q7.9_DO,Q7.10_First Click,Q7.10_Last Click,Q7.10_Page Submit,Q7.10_Click Count,Q8.1,Q8.2_First Click,Q8.2_Last Click,Q8.2_Page Submit,Q8.2_Click Count,Q9.2_First Click,Q9.2_Last Click,Q9.2_Page Submit,Q9.2_Click Count,mturk_completion_code,Q_TotalDuration,city,state,zip,FL_7_DO
2020-03-23 21:05:44,2020-03-23 21:06:17,IP Address,73.66.170.167,12,33,False,2020-03-30 21:06:19,R_1pS9BfvAczeKgjY,,,,,,,anonymous,EN,avlo2irjcsaus,Firefox,74.0,Windows NT 10.0,1920x1080,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656228,33,Folsom,CA,95630,
2020-03-23 21:07:56,2020-03-23 21:08:33,IP Address,103.82.211.192,46,37,False,2020-03-30 21:09:02,R_3Ia8HvssH3pTvr1,,,,,,,anonymous,EN,AFMXD5UFP4221,Chrome,80.0.3987.149,Windows NT 6.1,1366x768,Yes,0,0,2.197,0,,,,,0,0,21.044,0,,,,,,,,,,,,,,,,,,,,,,,,,,,757483,37,Hosur,25,635109,Article-NewYork
2020-03-23 20:59:42,2020-03-23 21:09:23,IP Address,97.46.128.168,92,580,False,2020-03-30 21:10:14,R_2rMjpePQ7yTB2G9,,,,,,,anonymous,EN,A37E36IPU0BJX5,Chrome,72.0.3626.121,Android 5.1.1,320x534,Yes,3.118,21.964,25.254,21,6.726,293.559,298.501,275,,,,,7,7,Over $2 billion,Over $2 billion|Over $14 billion|I don't know|About $1 billion|About $1 million,Heavy-duty diesel trucks,Power plants generating electricity|Ships that not been retrofitted to run on the city electrical grid|Cars|I don't know|Heavy-duty diesel trucks,Bronchitis,The state lacks resources to sufficiently enforce or audit the compliance with the law,Installing the necessary equipment across many ships in the industry can take long|Plugging a ship into shore power requires many workers and several hours|I don't know|The shipping industry protests that the proper equipment to comply with the law is costly|The state lacks resources to sufficiently enforce or audit the compliance with the law,A new and strict regulation may be too costly for the industry.,"The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.|I don't know|A single ship does not burn enough fuel oil to create pollution damaging to many people’s health.|The industry will be slow to adapt, but can reach 100% compliance by 2030.|A new and strict regulation may be too costly for the industry.","Residents who live near the port, in terms of negative health impacts.","Shipping industry, in terms of equipment installation fees for all large ships|I don't know|Residents who live near the port, in terms of negative health impacts.|State government, in terms of law enforcement and auditing fees|Port authorities, in terms of infrastructure installed for onshore power supplies",1.481,126.643,127.765,75,30,1.291,67.137,69.028,21,,,,,373977,580,,AZ,,Article-LA
2020-03-23 21:09:15,2020-03-23 21:10:06,IP Address,99.101.14.69,92,50,False,2020-03-30 21:10:28,R_3gNlDMEJGn2h5Iu,,,,,,,anonymous,EN,A3KMQBXYALQ2TU,Chrome,80.0.3987.122,Windows NT 6.1,1366x768,Yes,1.462,1.462,1.802,1,10.434,10.434,16.906,1,,,,,6,7,About $1 million,Over $2 billion|Over $14 billion|About $1 million|I don't know|About $1 billion,Power plants generating electricity,Ships that not been retrofitted to run on the city electrical grid|Heavy-duty diesel trucks|Power plants generating electricity|I don't know|Cars,Bronchitis,Installing the necessary equipment across many ships in the industry can take long,I don't know|Installing the necessary equipment across many ships in the industry can take long|The state lacks resources to sufficiently enforce or audit the compliance with the law|The shipping industry protests that the proper equipment to comply with the law is costly|Plugging a ship into shore power requires many workers and several hours,A new and strict regulation may be too costly for the industry.,"The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.|The industry will be slow to adapt, but can reach 100% compliance by 2030.|A new and strict regulation may be too costly for the industry.|A single ship does not burn enough fuel oil to create pollution damaging to many people’s health.|I don't know",,"Port authorities, in terms of infrastructure installed for onshore power supplies|Shipping industry, in terms of equipment installation fees for all large ships|Residents who live near the port, in terms of negative health impacts.|I don't know|State government, in terms of law enforcement and auditing fees",1.564,10.139,10.883,9,50,1.393,1.393,3.395,1,,,,,653823,50,San Diego,CA,92131,Article-LA
2020-03-23 21:07:04,2020-03-23 21:11:18,IP Address,24.24.154.168,35,253,False,2020-03-30 21:11:21,R_2WHyMrJjtgpfJZe,,,,,,,anonymous,EN,A2SJC9VRBGNC58,Firefox,74.0,Windows NT 10.0,1472x828,Yes,0,0,3.353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168756,253,Sherman Oaks,CA,91403,Article-NewYork
2020-03-23 21:11:29,2020-03-23 21:11:57,IP Address,108.184.171.98,15,28,False,2020-03-30 21:12:03,R_DUgcUyyRE0id0Ot,,,,,,,anonymous,EN,A3425qawedafds,Firefox,74.0,Windows NT 10.0,1366x768,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244203,28,Claremont,CA,91711,
2020-03-23 21:10:58,2020-03-23 21:12:06,IP Address,97.46.128.168,35,67,False,2020-03-30 21:12:17,R_T0hl7wk0FYrGXGV,,,,,,,anonymous,EN,A37E36IPU0BJX5,Chrome,72.0.3626.121,Android 5.1.1,320x534,Yes,1.279,3.312,4.486,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653774,67,,AZ,,Article-LA
2020-03-23 21:13:00,2020-03-23 21:13:20,IP Address,220.200.12.94,35,20,False,2020-03-30 21:13:23,R_3DcZPyh4CbkVwBN,,,,,,,anonymous,EN,AD0NVUGLDYDYN,Chrome,80.0.3987.149,Windows NT 10.0,1280x800,Yes,0,0,7.847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551463,20,Fuzhou,07,,Article-NewYork
2020-03-23 21:19:01,2020-03-23 21:20:48,IP Address,45.4.197.103,35,106,False,2020-03-30 21:20:49,R_5szQJJPiKNWAt8J,,,,,,,anonymous,EN,A1J1PWS99LFVPL,Chrome,80.0.3987.149,Windows NT 10.0,1366x768,Yes,0,0,38.839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936230,106,New York,NY,10001,Article-LA
2020-03-23 21:19:27,2020-03-23 21:20:13,IP Address,23.243.69.201,12,46,False,2020-03-30 21:24:52,R_3EGQPtD0qWEhM11,,,,,,,anonymous,EN,A28RKM9Q1FIZEK,Chrome,80.0.3987.149,Windows NT 6.3,1366x768,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731117,46,Los Angeles,CA,90003,
2020-03-23 21:19:00,2020-03-23 21:19:38,IP Address,108.218.178.164,35,37,False,2020-03-30 21:26:39,R_RkTlP8PqoBafI0V,,,,,,,anonymous,EN,A282NN2RO8XZP6,Chrome,80.0.3987.149,Windows NT 10.0,1920x1080,Yes,0,0,30.154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240798,37,Yorba Linda,CA,92886,Article-NewYork
2020-03-23 21:27:14,2020-03-23 21:28:30,IP Address,107.175.153.110,35,76,False,2020-03-30 21:29:18,R_3nT0Gckx7ejwAOd,,,,,,,anonymous,EN,A107MHGX27KJLR,Chrome,80.0.3987.149,Windows NT 6.3,1600x900,Yes,0,0,15.735,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974067,76,,,,Article-LA
2020-03-23 21:25:54,2020-03-23 21:34:13,IP Address,107.175.153.110,92,498,False,2020-03-30 21:34:25,R_Rlx23ogKPiOT1iF,,,,,,,anonymous,EN,A107MHGX27KJLR,Chrome,80.0.3987.149,Windows NT 6.3,1600x900,Yes,0,0,11.774,0,,,,,0,0,59.62,0,6,6,About $1 billion,About $1 billion|I don't know|Over $14 billion|About $1 million|Over $2 billion,Cars,Cars|I don't know|Power plants generating electricity|Ships that not been retrofitted to run on the city electrical grid|Heavy-duty diesel trucks,Cancer,The state lacks resources to sufficiently enforce or audit the compliance with the law,The shipping industry protests that the proper equipment to comply with the law is costly|Plugging a ship into shore power requires many workers and several hours|Installing the necessary equipment across many ships in the industry can take long|I don't know|The state lacks resources to sufficiently enforce or audit the compliance with the law,The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.,"I don't know|A single ship does not burn enough fuel oil to create pollution damaging to many people’s health.|The industry will be slow to adapt, but can reach 100% compliance by 2030.|A new and strict regulation may be too costly for the industry.|The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.","State government, in terms of law enforcement and auditing fees","I don't know|Shipping industry, in terms of equipment installation fees for all large ships|State government, in terms of law enforcement and auditing fees|Port authorities, in terms of infrastructure installed for onshore power supplies|Residents who live near the port, in terms of negative health impacts.",6.436,387.617,395.282,12,0,2.703,2.703,9.642,1,,,,,478947,498,,,,Article-NewYork
2020-03-23 21:37:04,2020-03-23 21:37:11,IP Address,23.125.217.105,12,6,False,2020-03-30 21:37:27,R_3gRAcAnwLGM57Mi,,,,,,,anonymous,EN,A3EEDLWUFR4B9L,Chrome,80.0.3987.149,Windows NT 10.0,1536x864,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169114,6,Buena Park,CA,90620,
2020-03-23 21:39:02,2020-03-23 21:39:09,IP Address,24.5.195.24,15,7,False,2020-03-30 21:39:10,R_2E00t6hhKLr1M4a,,,,,,,anonymous,EN,A3T5UAYFKJBVTA,Chrome,80.0.3987.132,Macintosh,1440x900,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389708,7,San Jose,CA,95111,
2020-03-23 21:39:29,2020-03-23 21:41:50,IP Address,108.239.226.210,92,141,False,2020-03-30 21:42:12,R_D6phDfbWhm41Exr,,,,,,,anonymous,EN,A1JDU4SNECC7QP,Chrome,80.0.3987.149,Windows NT 10.0,1364x768,Yes,0,0,16.055,0,,,,,0,0,17.717,0,5,6,Over $2 billion,I don't know|Over $2 billion|Over $14 billion|About $1 million|About $1 billion,Cars,Heavy-duty diesel trucks|Power plants generating electricity|Cars|I don't know|Ships that not been retrofitted to run on the city electrical grid,Cancer,I don't know,Installing the necessary equipment across many ships in the industry can take long|I don't know|The shipping industry protests that the proper equipment to comply with the law is costly|The state lacks resources to sufficiently enforce or audit the compliance with the law|Plugging a ship into shore power requires many workers and several hours,A new and strict regulation may be too costly for the industry.,"A new and strict regulation may be too costly for the industry.|I don't know|The industry will be slow to adapt, but can reach 100% compliance by 2030.|The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.|A single ship does not burn enough fuel oil to create pollution damaging to many people’s health.","Port authorities, in terms of infrastructure installed for onshore power supplies","State government, in terms of law enforcement and auditing fees|Shipping industry, in terms of equipment installation fees for all large ships|Port authorities, in terms of infrastructure installed for onshore power supplies|I don't know|Residents who live near the port, in terms of negative health impacts.",4.101,44.012,48.686,10,98,4.958,4.958,28.354,1,,,,,750813,141,Vallejo,CA,94590,Article-NewYork
2020-03-23 21:14:23,2020-03-23 21:22:52,IP Address,45.4.199.238,92,509,False,2020-03-30 21:43:56,R_3ixRxKZWzkCos9Z,,,,,,,anonymous,EN,ASQYT0J84ZD8G,Chrome,80.0.3987.149,Windows NT 6.1,1280x768,Yes,3.375,9.305,12.967,2,33.47,39.069,45.377,2,,,,,6,5,About $1 billion,Over $2 billion|I don't know|Over $14 billion|About $1 million|About $1 billion,Cars,Power plants generating electricity|I don't know|Cars|Heavy-duty diesel trucks|Ships that not been retrofitted to run on the city electrical grid,Bronchitis,Installing the necessary equipment across many ships in the industry can take long,I don't know|Installing the necessary equipment across many ships in the industry can take long|The state lacks resources to sufficiently enforce or audit the compliance with the law|Plugging a ship into shore power requires many workers and several hours|The shipping industry protests that the proper equipment to comply with the law is costly,"The industry will be slow to adapt, but can reach 100% compliance by 2030.","The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.|A new and strict regulation may be too costly for the industry.|A single ship does not burn enough fuel oil to create pollution damaging to many people’s health.|The industry will be slow to adapt, but can reach 100% compliance by 2030.|I don't know","State government, in terms of law enforcement and auditing fees","I don't know|Residents who live near the port, in terms of negative health impacts.|Shipping industry, in terms of equipment installation fees for all large ships|Port authorities, in terms of infrastructure installed for onshore power supplies|State government, in terms of law enforcement and auditing fees",7.638,374.526,378.994,12,0,3.114,46.33,49.229,4,,,,,936044,509,New York,NY,10001,Article-LA
2020-03-23 21:44:33,2020-03-23 21:44:43,IP Address,104.173.49.192,35,10,False,2020-03-30 21:45:21,R_BFmk2Ucw6G7bRhD,,,,,,,anonymous,EN,I,Safari iPhone,13.0.5,iPhone,375x812,Yes,1.128,1.128,3.867,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595333,10,Hemet,CA,92544,Article-LA
2020-03-23 21:48:28,2020-03-23 21:55:16,IP Address,64.52.130.236,92,407,False,2020-03-30 21:55:17,R_sYd3uRG81dAiboB,,,,,,,anonymous,EN,A17V85U8PXS4LJ,Chrome,80.0.3987.149,Windows NT 10.0,1280x1024,Yes,2.62,2.62,4.028,1,6.342,183.806,299.367,6,,,,,6,6,Over $14 billion,I don't know|Over $2 billion|Over $14 billion|About $1 billion|About $1 million,Cars,Heavy-duty diesel trucks|Ships that not been retrofitted to run on the city electrical grid|Power plants generating electricity|I don't know|Cars,I don't know,The shipping industry protests that the proper equipment to comply with the law is costly,The state lacks resources to sufficiently enforce or audit the compliance with the law|I don't know|Installing the necessary equipment across many ships in the industry can take long|The shipping industry protests that the proper equipment to comply with the law is costly|Plugging a ship into shore power requires many workers and several hours,The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.,"The industry will be slow to adapt, but can reach 100% compliance by 2030.|The shipment industry needs to relieve the pollution imposed on the residents around the port as soon as possible.|A single ship does not burn enough fuel oil to create pollution damaging to many people’s health.|I don't know|A new and strict regulation may be too costly for the industry.","Residents who live near the port, in terms of negative health impacts.","State government, in terms of law enforcement and auditing fees|Shipping industry, in terms of equipment installation fees for all large ships|I don't know|Residents who live near the port, in terms of negative health impacts.|Port authorities, in terms of infrastructure installed for onshore power supplies",11.255,78.902,79.936,16,5,3.827,3.827,6.251,1,,,,,456448,407,Monrovia,CA,91016,Article-LA
2020-03-23 21:54:37,2020-03-23 21:55:12,IP Address,47.148.224.173,35,34,False,2020-03-30 21:55:29,R_3PGFmgiP2e3EzLx,,,,,,,anonymous,EN,A1MP5J56GBFM18,Safari,13.0.5,Macintosh,1440x900,Yes,0,0,2.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185225,34,Perris,CA,92571,Article-NewYork
2020-03-23 22:01:47,2020-03-23 22:02:24,IP Address,73.66.56.180,8,36,False,2020-03-30 22:02:24,R_1LGXObLtcZrBDzA,,,,,,,anonymous,EN,A2PK2JP60TTO7N,Chrome,80.0.3987.149,Windows NT 10.0,1280x720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651907,36,Fair Oaks,CA,95628,
2020-03-23 22:11:34,2020-03-23 22:12:08,IP Address,23.124.26.142,35,34,False,2020-03-30 22:13:05,R_2S0T9Bv6ovlvUcN,,,,,,,anonymous,EN,A3S3YW7ZDE7BS,Chrome,80.0.3987.149,Android 9,360x720,Yes,1.583,3.518,9.503,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332479,34,Ojai,CA,93023,Article-NewYork
2020-03-23 22:30:23,2020-03-23 22:32:14,IP Address,47.157.48.131,46,111,False,2020-03-30 22:32:16,R_33sAD73lZuPmjxq,,,,,,,anonymous,EN,A23JDP71XAI983,Chrome,80.0.3987.149,Windows NT 6.3,1366x768,Yes,0,0,53.85,0,0,0,22.745,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291365,111,Glendora,CA,91741,Article-LA
2020-03-23 21:54:54,2020-03-23 22:34:30,IP Address,97.86.146.249,35,2376,False,2020-03-30 22:34:31,R_RqstsLZjDWCDOiB,,,,,,,anonymous,EN,ADOA6CWS9LA9,Chrome,79.0.3945.130,Windows NT 6.3,1600x900,Yes,6.886,7.267,8.699,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305535,2376,Hollister,CA,95023,Article-LA
2020-03-23 22:44:16,2020-03-23 22:44:53,IP Address,75.18.243.148,12,36,False,2020-03-30 22:44:54,R_2Pvy6Nj3DG75dpx,,,,,,,anonymous,EN," COPIEDA27VOLGVS8N53G",Chrome,72.0.3626.121,Macintosh,1920x1080,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338277,36,San Francisco,CA,94116,
2020-03-23 22:36:40,2020-03-23 22:47:49,IP Address,75.142.127.148,46,668,False,2020-03-30 22:48:31,R_d6D0vpGsJIbL1a9,,,,,,,anonymous,EN,A34Z3DVUOHC61R,Edge,18.18362,Windows NT 10.0,1093x614,Yes,4.818,37.004,55.783,3,10.546,327.214,328.557,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868215,668,Long Beach,CA,90804,Article-LA
